rw        r         Tu        Hl        Tl        Hu        L         Kw        y         
0.191504  149.151   83078.3   705.587   85.705    807.25    1120.86   12795.3   131.569   
0.194305  277.002   74791.5   710.951   80.7756   841.587   1120.35   12335.8   167.473   
0.198664  13.2696   87553     734.89    95.367    919.25    1120.09   12614.9   254.946   
0.197039  979.1     92766.3   739.486   91.059    843.726   1120.4    11900.9   132.492   
0.198012  113.345   96042.3   771.22    73.5804   933.957   1120.25   12704.1   223.04    
0.1941    57.8676   103843    790.036   95.9342   919.396   1120.04   11477.5   155.117   
0.180142  1411.56   86265.1   818.772   93.1614   931.519   1120.3    10471.5   105.891   
0.186388  17.4075   83564     779.801   77.8882   930.759   1120.87   11300.4   164.423   
0.199933  18.8685   101642    711.389   91.437    902.114   1120.22   11767.2   248.989   
0.192815  1783.6    92938.2   780.702   86.1312   910.518   1120.72   10211.2   135.708   
0.194403  1505.59   90193.3   769.634   91.9453   964.638   1121.33   11603.1   235.094   
0.187137  30.6441   90957.8   806.764   88.9257   981.058   1120.13   11352.1   192.38    
0.191721  37.0082   99800.8   808.534   97.2614   951.006   1120.52   10436.3   151.822   
0.194648  2.97754   100585    760.305   96.9422   931.54    1120.21   9790.19   177.302   
0.193912  276.291   81573     799.133   88.3977   938.636   1120.56   10914.4   158.13    
0.197105  112.713   93563.2   799.202   100.742   965.511   1120.96   9818.04   175.897   
0.197179  986.078   88049.5   760.862   88.235    946.145   1120.01   10466.7   207.845   
0.191836  88.7843   98696.2   772.023   97.8137   930.592   1120.21   10881.3   176.1     
0.196098  4315.43   83952     713.679   89.2768   877.689   1120.17   10107.4   175.371   
0.192484  247.491   107148    811.209   97.4572   959.472   1120.53   11134.1   169.187   
0.199261  15.1728   85903.9   745.332   85.6223   909.141   1121.06   12886     232.184   
0.197912  804.386   89533.7   760.632   86.5688   925.377   1120.58   11439.2   203.047   
0.197527  165.292   77398.5   783.914   82.6216   960.194   1120.68   11441.9   217.082   
0.183693  43.9902   103860    710.037   96.1735   855.029   1120.06   11201.1   152.245   
0.198518  442.66    80239.3   784.501   82.5913   912.443   1120.41   11256.4   156.253   
0.199955  857.715   85264.5   733.324   80.1076   879.277   1120.01   11188.8   179.4     
0.192996  231.608   96113.2   709.169   91.4138   881.535   1120.23   12739.7   225.668   
0.189158  129.93    80799.7   759.691   57.4105   957.354   1120.87   12459.1   241.511   
0.19985   186.235   89378.1   787.733   91.6713   896.995   1120.1    10495.1   126.687   
0.191499  41.7859   82030.6   746.847   81.4659   918.909   1120.75   12504.5   218.215   
0.188323  307.767   84281.1   764.548   80.012    897.317   1120.46   11679.6   151.605   
0.197594  338.791   103927    780.211   99.6041   932.027   1120.22   10455.3   171.463   
0.197166  23.9441   86487.7   736.581   65.3529   921.866   1120.08   10118.3   201.81    
0.195541  39.1736   94477.9   724.873   100.603   873.103   1120.12   9553.93   150.577   
0.195828  27394     92953     766.541   73.0897   876.365   1120.76   11255.9   128.854   
0.183231  833.248   81215.9   703.101   95.6901   853.926   1120.82   12150.3   169.732   
0.18671   6.26951   98802.2   775.19    89.3123   886.633   1120.09   9557.13   103.532   
0.192557  5.52445   88070     763.388   89.3931   959.292   1120.04   12740.7   257.538   
0.186905  381.719   103724    740.004   86.7947   855.025   1120.48   11673.9   129.446   
0.197139  6869.53   91416.4   716.239   97.6369   834.175   1120.19   12590.4   158.138   
0.193298  90.7739   87124.3   785.066   89.6827   898.394   1120.12   12841.1   150.294   
0.191012  184.957   76657.8   767.729   83.5899   923.71    1120.63   10353.7   162.927   
0.197426  24.9137   85191.8   725.823   85.0887   916.821   1120.04   10161.7   210.074   
0.19455   335.074   86880.2   770.6     95.4634   961.048   1120.42   9674.61   193.076   
0.180189  39.4361   86238.7   774.406   88.0046   935.74    1120.2    9632.63   140.308   
