sigma_e   rw        r         Tu        Tl        L         Kw        
2.52364   0.174589  4130.13   102436    91.9783   1564.63   10949     
2.04495   0.171236  28.8232   111679    67.8317   1205.02   11553     
2.26997   0.147081  20553.7   70575.3   108.828   1433.11   12672.3   
1.9235    0.172363  8.30048   108305    75.2481   1388.39   11196.1   
2.26067   0.151784  4631.5    102835    83.3215   1416.82   12523.8   
2.03826   0.183265  1235.35   95293.5   75.1617   1616.35   11958.7   
2.04461   0.172075  1093.02   90534.1   88.2227   1666.1    12239.2   
2.18084   0.149722  444.485   112825    85.4253   1198.54   12651.3   
1.9081    0.146873  43551.2   94874.7   113.328   1400.2    10036     
2.16814   0.173297  43.0343   84793.4   92.4002   1377.91   9711.47   
2.31219   0.168402  555.332   100571    105.706   1327.88   11790.8   
2.13127   0.144979  12.8722   83616.4   82.0614   1523.03   12887.8   
1.98491   0.147228  15.9349   100650    63.5765   1562.07   12364.8   
1.97559   0.137099  45402.1   64423.1   112.591   1499.78   11593.9   
2.08564   0.162392  5.53792   76883.6   89.0247   1676.59   12860.8   
1.83833   0.164384  12.2063   62637.7   90.3067   1478.23   10961.7   
2.01871   0.166005  14746.6   103371    62.595    1431.34   9506.9    
1.8937    0.154968  1.40045   103534    106.653   1562.59   11979.7   
1.85302   0.183774  333.527   86917     74.53     1329.33   10485.9   
2.1105    0.164899  2710.89   70912.6   70.5081   1640.91   11298.9   
2.0527    0.169633  33054.2   100022    66.2308   1187.45   10761.6   
2.09544   0.146412  113.105   87268     90.6401   1376.01   12849.5   
1.8733    0.16143   17155.7   86063.9   86.4078   1473.01   12939.3   
1.93201   0.14891   42073     104719    86.4706   1200.53   12154.7   
1.99803   0.176981  50.0546   67279.6   99.6713   1134.24   12095.7   
2.12952   0.149657  293.007   104404    109.775   1172.45   9936.98   
1.88752   0.138158  31.9619   91193.2   80.7995   1429.09   10009     
2.05916   0.169767  2.38834   92033.3   80.6752   1512.17   10597     
2.34853   0.141753  22712.1   111170    109.874   1226.29   10717.7   
2.05524   0.155647  57326.3   92074     69.6582   1617.38   12557.1   
1.98058   0.143184  1289.48   91253.6   113.084   1478.95   9592.07   
1.81169   0.153212  16877.3   94110.4   100.132   1593.09   10376.7   
1.96185   0.145855  24.483    78371.2   66.9098   1120.99   11739.7   
1.88446   0.16588   19.2231   84694.9   96.2868   1586.76   10195.6   
2.08609   0.159053  565.349   114567    101.434   1311.84   12241.5   
1.90537   0.165184  4.54746   98169.3   72.4131   1580.95   12021.1   
2.17014   0.162761  58429.2   71278.4   72.6018   1338.86   10735.4   
2.06006   0.141898  83.0848   85685.6   75.357    1179.67   11393.3   
2.03925   0.146999  229.552   88517.8   89.306    1438.86   12413.3   
