rw        r         Tu        Hl        Tl        Hu        L         Kw        y         
0.197092  845.822   83671.3   763.326   77.8542   933.052   1524.02   12185     162.884   
0.113763  682.57    75088.5   817.588   75.1828   961.561   1390.47   10865.3   45.4755   
0.117025  111.937   97532.2   726.663   103.703   890.72    1577.58   12493.6   55.6988   
0.174837  679.188   81112.8   809.284   92.0897   993.916   1207.93   11953.4   173.105   
0.100511  4.15001   88244.1   734.658   85.6328   841.03    1512.87   12917.9   28.7726   
0.10712   118.234   93106.5   712.568   90.4653   892.832   1534.5    11076.3   46.7559   
0.189588  1725.93   92943.2   806.033   91.5895   936.167   1488.35   9937.45   96.9557   
0.127033  9.94619   84307.2   714.077   85.0094   872.582   1277.29   10808.4   67.7607   
0.104012  200.679   97590.4   812.464   94.511    977.124   1170.7    12716.1   60.5024   
0.103666  20.7237   77916.8   740.225   90.3181   926.673   1161.81   9692.5    52.3773   
0.170553  482.359   72150.7   804.672   75.2398   1004.59   1489.34   11854     143.651   
0.183793  440.515   87177.5   709.313   86.5705   873.505   1375.67   12172.1   152.128   
0.12378   5.16175   101239    760.268   103.476   955.254   1281.28   11207.4   81.8968   
0.187605  88.2517   91241.9   811.648   87.6562   978.532   1207.92   11379.2   171.83    
0.166368  2463.59   71829.4   755.651   115.546   880.817   1205.62   10541.5   94.2146   
0.172932  129.903   93344     701.515   89.2492   858.952   1400.01   10492.2   109.937   
0.180775  147.016   85371.1   737.814   87.084    934.608   1123.17   12740.2   225.95    
0.175667  108.424   83340.3   787.134   72.9037   959.813   1338.32   9818.03   121.596   
0.108169  251.22    107685    812.412   95.1422   1010.08   1364.37   12591.9   66.765    
0.102598  1684.19   95012.9   803.757   88.0534   945.867   1499.81   10057.7   31.3923   
0.174085  8509.76   75931.2   764.688   76.095    937.874   1164.82   11294.7   156.614   
0.127762  20.6852   94133.2   738.587   90.5481   882.995   1556.18   12568.9   59.5906   
0.18826   5.31798   83734.8   731.568   79.6714   841.553   1250.27   12170     118.346   
0.183941  1103.62   90044.1   810.786   97.8959   986.698   1336.53   12496.7   172.405   
0.104067  1.30789   92893.2   713.945   95.8127   878.252   1630      12630     43.2683   
0.149774  5.51306   81184.8   715.572   94.4306   859.936   1347.18   11380.4   85.6326   
0.191682  141.525   97759.3   726.138   92.4757   848.709   1669.79   9644      81.0987   
